rule_id	scope	rule	baseline_name	lean_refs	java_refs	test_refs	status	notes
R0-CORE-001	BASELINE	Parser operator aliases preserve denotation	operator aliases	docs/section3-repair-audit/formal/Phase5SourceRules.lean#operator_alias_preserves_denotation	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode	src/is/fivefivefive/CanDis/ablation/EGraphAblationTest.java#main	PROVED_AND_CONNECTED	Alias spelling changes no semantic operator.
R0-CORE-002	BASELINE	NOOP and internal END wrappers erase without changing payload	NOOP elimination	docs/section3-repair-audit/formal/Phase5SourceRules.lean#noop_elimination;docs/section3-repair-audit/formal/Phase5SourceRules.lean#end_marker_elimination_preserves_payload	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#removeEndNodes	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testEndEliminatedFromNormalForm	PROVED_AND_CONNECTED	Only structural wrappers are removed.
R0-CORE-003	BOTH	Capture-avoiding LET beta reduction	capture-avoiding let beta reduction	docs/section3-repair-audit/formal/Phase5SourceRules.lean#let_beta_reduction;docs/section3-repair-audit/formal/Phase5SourceRules.lean#let_substitution_uses_lexical_identity	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#betaRewriteLet	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testLetReferenceSurvivesEndCleanupUntilBetaReduction	PROVED_AND_CONNECTED	Lexical binder identity, not spelling, controls substitution.
R0-CORE-004	BOTH	Implication eliminates to disjunction with a negated antecedent	implication elimination	docs/section3-repair-audit/formal/Phase5SourceRules.lean#implication_elimination	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#rewriteBranchConnectives;src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateOnce	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testImplicationSaturation	PROVED_AND_CONNECTED	The antecedent is the unique implicit-negative branch.
R0-CORE-005	BOTH	IFF eliminates to the conjunction of both implications	iff elimination	docs/section3-repair-audit/formal/Phase5SourceRules.lean#iff_elimination	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#rewriteBranchConnectives;src/is/fivefivefive/CanDis/core/NormalForm.java#expandIff	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testIffPrenexPolarity	PROVED_AND_CONNECTED	Both implicit-negative branches are retained.
R0-CORE-006	BOTH	Boolean ITE eliminates to guarded then and else branches	formula ITE elimination	docs/section3-repair-audit/formal/Phase5SourceRules.lean#formula_ite_elimination	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#rewriteBranchConnectives;src/is/fivefivefive/CanDis/core/NormalForm.java#expandIte	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testIteEliminatedFromNormalForm	PROVED_AND_CONNECTED	The else branch receives the condition negation.
R0-CORE-007	BOTH	Boolean constant negation and double negation	boolean constant negation and double negation	docs/section3-repair-audit/formal/Phase5SourceRules.lean#double_negation_elimination;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_true_is_false;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_false_is_true	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNot;src/is/fivefivefive/CanDis/core/NormalForm.java#toNNF;src/is/fivefivefive/CanDis/core/NormalForm.java#normalizeGuardedSourceRules;src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateOnce	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testDoubleNegationAndIdempotence	PROVED_AND_CONNECTED	Applies only to authorized Boolean formulas.
R0-CORE-008	BOTH	De Morgan dualizes conjunction and disjunction	De Morgan	docs/section3-repair-audit/formal/Phase5SourceRules.lean#de_morgan_conjunction;docs/section3-repair-audit/formal/Phase5SourceRules.lean#de_morgan_disjunction	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNot;src/is/fivefivefive/CanDis/core/NormalForm.java#toNNF;src/is/fivefivefive/CanDis/core/NormalForm.java#prenexNegatedNonQuantifier;src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateOnce	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testDeMorganSaturation	PROVED_AND_CONNECTED	The proof covers each operand and Java generalizes over the variadic container.
R0-CORE-009	BOTH	Atomic formula negation uses exact semantic duals	atomic negation duals	docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_equality_is_inequality;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_inequality_is_equality;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_int_gt_is_lte;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_int_gte_is_lt;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_int_lt_is_gte;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_int_lte_is_gt;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_subset_is_not_subset;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_not_subset_is_subset;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_some_is_no;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_no_is_some	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNot;src/is/fivefivefive/CanDis/core/NormalForm.java#toNNF;src/is/fivefivefive/CanDis/core/NormalForm.java#dualOpcode	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testQuantifierPolarityRules	PROVED_AND_CONNECTED	Comparison proofs use exact integer order and subset semantics.
R0-CORE-010	BOTH	Temporal negation uses all eight unary and binary duals	temporal negation duals	docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_always_is_eventually_not;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_eventually_is_always_not;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_historically_is_once_not;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_once_is_historically_not;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_until_is_release_not;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_release_is_until_not;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_since_is_triggered_not;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_triggered_is_since_not	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNot;src/is/fivefivefive/CanDis/core/NormalForm.java#dualOpcode;src/is/fivefivefive/CanDis/core/NormalForm.java#pushTemporalNegations	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testTemporalNegationCrossesPhaseBoundary	PROVED_AND_CONNECTED	Lean uses direct trace semantics for release and triggered, not aliases.
