relativePath,questionSet,statusFolder,invariantId,studentPredicate,oraclePredicate,reason
"classroom_fol/correct/27ai2vcEZebdyjyCd_inv5.als","classroom_fol","CORRECT","inv5","inv5","inv5c","student-oracle-raw-ast-identical"
"classroom_fol/correct/2JwPBTb4Z9fgAhYFW_inv4.als","classroom_fol","CORRECT","inv4","inv4","inv4c","student-oracle-raw-ast-identical"
"classroom_fol/correct/2W2KLPHebxZKAeTMo_inv2.als","classroom_fol","CORRECT","inv2","inv2","inv2c","student-oracle-raw-ast-identical"
"classroom_fol/correct/2fXWAa9f38wMbWwpz_inv2.als","classroom_fol","CORRECT","inv2","inv2","inv2c","student-oracle-raw-ast-identical"
"classroom_fol/correct/2vicuYYZfXhn7xyoq_inv3.als","classroom_fol","CORRECT","inv3","inv3","inv3c","student-oracle-raw-ast-identical"
"classroom_fol/correct/34scg9AZu7APgxaqT_inv4.als","classroom_fol","CORRECT","inv4","inv4","inv4c","student-oracle-raw-ast-identical"
"classroom_fol/correct/3F3jvZvopi5rkpSMT_inv1.als","classroom_fol","CORRECT","inv1","inv1","inv1c","student-oracle-raw-ast-identical"
"classroom_fol/correct/3N2B67GgAy96Ydpz8_inv8.als","classroom_fol","CORRECT","inv8","inv8","inv8c","student-oracle-raw-ast-identical"
"classroom_fol/correct/3RBwGrtdDHtRfxsp7_inv1.als","classroom_fol","CORRECT","inv1","inv1","inv1c","student-oracle-raw-ast-identical"
"classroom_fol/correct/4AQnHxnw39gLmGsuM_inv4.als","classroom_fol","CORRECT","inv4","inv4","inv4c","student-oracle-raw-ast-identical"
"classroom_fol/correct/4Deevq37auTuNM7PJ_inv4.als","classroom_fol","CORRECT","inv4","inv4","inv4c","student-oracle-raw-ast-identical"
"classroom_fol/correct/4MEpzH4YKSHqj5Kcr_inv6.als","classroom_fol","CORRECT","inv6","inv6","inv6c","student-oracle-raw-ast-identical"
"classroom_fol/correct/4XyMmJNyEP4f7pn6N_inv5.als","classroom_fol","CORRECT","inv5","inv5","inv5c","student-oracle-raw-ast-identical"
"classroom_fol/correct/4cxjXu3Fop85YoSn4_inv3.als","classroom_fol","CORRECT","inv3","inv3","inv3c","student-oracle-raw-ast-identical"
"classroom_fol/correct/4oALBqg4Dqr5tdiMv_inv8.als","classroom_fol","CORRECT","inv8","inv8","inv8c","student-oracle-raw-ast-identical"
"classroom_fol/correct/4oY6FFZt2Z6ayCca2_inv1.als","classroom_fol","CORRECT","inv1","inv1","inv1c","student-oracle-raw-ast-identical"
"classroom_fol/correct/4wGPA7YWtsc9etgeq_inv1.als","classroom_fol","CORRECT","inv1","inv1","inv1c","student-oracle-raw-ast-identical"
"classroom_fol/correct/5RQFMfJnt8TGRPco4_inv8.als","classroom_fol","CORRECT","inv8","inv8","inv8c","student-oracle-raw-ast-identical"
"classroom_fol/correct/5h7bN85vRNCv8d5E6_inv3.als","classroom_fol","CORRECT","inv3","inv3","inv3c","student-oracle-raw-ast-identical"
"classroom_fol/correct/5vzFGW2oo7Yg8CQ7t_inv10.als","classroom_fol","CORRECT","inv10","inv10","inv10c","student-oracle-raw-ast-identical"
"classroom_fol/correct/5zobFWoWh3tRuXuLy_inv5.als","classroom_fol","CORRECT","inv5","inv5","inv5c","student-oracle-raw-ast-identical"
"classroom_fol/correct/6HMPYhyLv2wzX6k69_inv5.als","classroom_fol","CORRECT","inv5","inv5","inv5c","student-oracle-raw-ast-identical"
"classroom_fol/correct/6PkkN7447qJFZfk7j_inv6.als","classroom_fol","CORRECT","inv6","inv6","inv6c","student-oracle-raw-ast-identical"
"classroom_fol/correct/6Z4SWWTR2rRQfL5ib_inv4.als","classroom_fol","CORRECT","inv4","inv4","inv4c","student-oracle-raw-ast-identical"
"classroom_fol/correct/6bJKADJS6tKAvBHCy_inv1.als","classroom_fol","CORRECT","inv1","inv1","inv1c","student-oracle-raw-ast-identical"
"classroom_fol/correct/6zSwXZEJHWPEgx5x3_inv6.als","classroom_fol","CORRECT","inv6","inv6","inv6c","student-oracle-raw-ast-identical"
"classroom_fol/correct/7A5z6FTBY7eQXLrWQ_inv4.als","classroom_fol","CORRECT","inv4","inv4","inv4c","student-oracle-raw-ast-identical"
"classroom_fol/correct/7BdaW2WQopXbDy9x7_inv2.als","classroom_fol","CORRECT","inv2","inv2","inv2c","student-oracle-raw-ast-identical"
"classroom_fol/correct/7gFPtSGJC6sA7g3MG_inv5.als","classroom_fol","CORRECT","inv5","inv5","inv5c","student-oracle-raw-ast-identical"
"classroom_fol/correct/7nLpyqxLDZnM8DaXr_inv6.als","classroom_fol","CORRECT","inv6","inv6","inv6c","student-oracle-raw-ast-identical"
"classroom_fol/correct/7zukxwijbZt7H3pQi_inv1.als","classroom_fol","CORRECT","inv1","inv1","inv1c","student-oracle-raw-ast-identical"
