policy_id	requirement	test_path	test_class	test_symbol	expected_outcome
1	Ordinary Seq+ has no associativity law	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java	is.fivefivefive.CanDis.TheoryLawPolicyRegressionTest	testContainerLawSeparation	Seq policy constructs and reports A absent
2	Nonflat Bag=2 has commutativity only and never flattens	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java	is.fivefivefive.CanDis.TheoryLawPolicyRegressionTest	testContainerLawSeparation	C-only Bag constructs and nested flattening rejects
3	Flat Seq+ rejects without associativity	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java	is.fivefivefive.CanDis.TheoryLawPolicyRegressionTest	testContainerLawSeparation	Constructor rejects the missing A certificate
4	Flat Bag+ requires exactly associativity and commutativity	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java	is.fivefivefive.CanDis.TheoryLawPolicyRegressionTest	testContainerLawSeparation	AC Bag constructs and wrong law sets reject
5	Ordinary K0 is legal while flat K0 requires A and U	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java	is.fivefivefive.CanDis.TheoryLawPolicyRegressionTest	testContainerLawSeparation	Ordinary zero constructs and invalid flat zero rejects
6	K+ rejects an empty stored container	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java	is.fivefivefive.CanDis.TheoryLawPolicyRegressionTest	testArityClosureAndEmptyStorage	Empty nonempty-variadic storage rejects
7	Invalid Set downward closure and flat splice closure reject	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java	is.fivefivefive.CanDis.TheoryLawPolicyRegressionTest	testArityClosureAndEmptyStorage	Both malformed arity policies reject
8	The Alloy flat whitelist excludes role-sensitive operators	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java	is.fivefivefive.CanDis.TheoryLawPolicyRegressionTest	testExactAlloyPolicy	Closed opcode census matches the fixed whitelist
9	CALL occurrence identity arity and order are exact	src/is/fivefivefive/CanDis/CallExtractionRegressionTest.java	is.fivefivefive.CanDis.CallExtractionRegressionTest	main	Nested mixed zero and multiargument calls preserve visits or reject
10	Equality commutes but does not associate or flatten	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java	is.fivefivefive.CanDis.TheoryLawPolicyRegressionTest	testFixedCommutativeAndRoleSensitiveForms	Equality receives C only
11	Semantic disjoint retains duplicates while ignoring sibling order	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java	is.fivefivefive.CanDis.TheoryLawPolicyRegressionTest	testFixedCommutativeAndRoleSensitiveForms	DISJOINT is a nonflat multiplicity-retaining Bag
12	Role-sensitive totalOrder and argument lists observe swaps	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java	is.fivefivefive.CanDis.TheoryLawPolicyRegressionTest	testFixedCommutativeAndRoleSensitiveForms	Ordered role swaps remain unequal
13	Integer associativity is restricted to the modular profile	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java	is.fivefivefive.CanDis.TheoryLawPolicyRegressionTest	testOverflowProfile	Modular policy admits A and overflow-forbidding rejects it
14	Law certificates cannot replay across bound indices	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java	is.fivefivefive.CanDis.TheoryLawPolicyRegressionTest	testTrustedLawAuthority	Cross-operator type path arity profile and endpoint attacks reject
15	Streaming canonicalization equals the bounded reference enumerator	src/is/fivefivefive/CanDis/theory/TheoryCanonicalizationTest.java	is.fivefivefive.CanDis.theory.TheoryCanonicalizationTest	testGeneratedDifferentialCanonicalization	Generated candidates match the exhaustive bounded reference
16	Nested same-descriptor binders retain distinct occurrence contexts	src/is/fivefivefive/CanDis/theory/TheoryCanonicalizationTest.java	is.fivefivefive.CanDis.theory.TheoryCanonicalizationTest	testNestedSameDescriptorOccurrences	Nested occurrences remain distinct and replayable
17	Incomparable equal-shape owners coexist and compatible owners merge exactly	src/is/fivefivefive/CanDis/theory/TheoryRebuildTest.java	is.fivefivefive.CanDis.theory.TheoryRebuildTest	testIncomparableCollisionBucket	Incomparable owners remain while certified compatible owners merge
18	Source-rule empty-domain and none subset edge cases match Alloy	src/is/fivefivefive/CanDis/AlloySourceRuleRegressionTest.java	is.fivefivefive.CanDis.AlloySourceRuleRegressionTest	main	Solver-backed expected SAT or UNSAT outcomes and canonical forms agree
